index,rewarded_coins,inference_count,missed_requests,inference_slot_nodes,inference_slot_weight,historical_inference_slot_nodes,historical_inference_slot_weight,lost_inference_slot_nodes,lost_inference_slot_weight,verification_slot_nodes,verification_slot_weight,all_mlnode_weight,excluded_reason,parent_base_weight,parent_confirmation_weight,historical_parent_confirmation_weight,likely_missed_reward_for_inference_slot
gonka10000627dkz6nvmf09ctqy073v0fls696uznwgg,0,0,0,0,0,1,4663,1,4663,1,4663,4663,,4663,0,0,False
gonka100009u7hegukxy5ne3w6ycfleaj7uuvh2juxqd,0,0,0,0,0,1,3589,1,3589,1,3589,3589,,3589,0,0,False
gonka10000uv63da0ee5drk26erkwrvcmpmj7kg6kw48,0,0,0,0,0,0,0,0,0,1,1912,1912,failed_confirmation_poc,1912,0,1912,False
gonka10003spukrualhl3h80k9x5m9vrmvlmp8kf4t4w,0,0,0,0,0,1,4299,1,4299,1,4299,4299,,4299,0,0,False
gonka10006x5p5z8zukfye552fd58qqj2qth69kv5kmn,0,0,0,0,0,0,0,0,0,1,4509,4509,failed_confirmation_poc,4509,0,4509,False
gonka100070ewvrcraax995yd78cm0nraryzp4hal3hk,0,0,0,0,0,0,0,0,0,1,5012,5012,failed_confirmation_poc,5012,0,5012,False
gonka10008pmwrke48xh42dhe0ul0mm0mhhvz6ta9srs,0,0,0,0,0,1,4824,1,4824,1,4824,4824,,4824,0,0,False
gonka100092zwvcksslturgx39lzwy6ztjxuttt3spej,0,0,0,0,0,0,0,0,0,1,4639,4639,failed_confirmation_poc,4639,0,4639,False
gonka1000937gjpju4udj2wlj3yld0lcw024tp0ztqew,0,0,0,0,0,1,4519,1,4519,1,4519,4519,,4519,0,0,False
gonka10009skl232h4c94st5ar3j3c2e34cfk2cpgrj0,0,0,0,0,0,0,0,0,0,1,4778,4778,failed_confirmation_poc,4778,0,4778,False
gonka1000hqfkcp3cs0fq4r78vvpkjlv5n4x4sdgcv7v,0,0,0,0,0,1,5576,1,5576,1,5576,5576,,5576,0,0,False
gonka1000rv0ddp9yk6djr4y29mt0gu3m4p8mg4kmjcv,0,0,0,0,0,1,2886,1,2886,1,2886,2886,,2886,0,0,False
gonka1000sng4u5jm7jdjnwxvq6uwmw067mvcurd9205,0,0,0,0,0,0,0,0,0,1,3365,3365,failed_confirmation_poc,3365,0,3365,False
gonka1000xjetteyu7gy726vnhdxq69y3meq04gvnk4d,0,0,0,0,0,1,3695,1,3695,1,3695,3695,,3695,0,0,False
gonka1000xmydnfvphwy4n5yww4ex6nwk9mqslf2gnhs,0,0,0,0,0,1,3655,1,3655,1,3655,3655,,3655,0,0,False
gonka1000zfcrzdjwwucvs9k2wuy4j5ecj69q5f4v57h,0,0,0,0,0,1,4142,1,4142,1,4142,4142,,4142,0,0,False
gonka100k8hr43z5vp0fnyc94m7lum6mj4st6vksxz8s,5470537719936,0,0,0,0,5,4628,5,4628,109,112535,112535,,112535,107907,107907,False
gonka104z9al2taf6gspj2qlsqtjwpxt7ypmpn5z0nxa,98554545372,0,0,0,0,0,0,0,0,2,1944,1944,,1944,1944,1944,False
gonka105ce4495mj0mwkxqeasgdzqfq5jjrfq32eza5l,11356079302,0,0,0,0,0,0,0,0,1,224,224,,224,224,224,False
gonka109g8dnt43nj45xhg83jyjt5f2ywz336w36qzyl,657689360659,0,0,0,0,0,0,0,0,4,12973,12973,,12973,12973,12973,False
gonka10etnufq85u67k075yuxq6h3rzwlcln5rffhlyx,5089297914790,0,0,0,0,2,61,2,61,126,100448,100448,,100448,100387,100387,False
gonka10fvaz7sgva6563fkcp9wxlk5hz7gj8fmu0w699,0,0,0,0,0,1,3518,1,3518,1,3518,3518,,3518,0,0,False
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,153661948058,0,0,0,0,3,2602,3,2602,4,5633,5633,,5633,3031,3031,False
gonka10p49jx70haq9uhjy94y80zkfv3xk5pafk5wc5q,0,0,0,0,0,1,5761,1,5761,1,5761,5761,,5761,0,0,False
gonka10r7l6unulyg0wtk8kl980k7fpvjskxuxdtnt7t,25956752690,0,0,0,0,0,0,0,0,1,512,512,,512,512,512,False
gonka10vh6xfdrksy7npapnhs6pnwmd3ldpxgl8n2gdd,668741259266,0,0,0,0,0,0,0,0,4,13409,13409,,13409,13191,13409,False
gonka10vljxvwy6n9hh263chkt0hj0kg7t0qmdwfrurs,861135549230,0,0,0,0,2,5900,2,5900,7,23061,23061,,23061,16986,17161,False
gonka1270mrwh27pgnrtmmsmyy5rsq2h8ug6l4zvg4cu,0,0,0,0,0,1,3539,1,3539,1,3539,3539,,3539,0,0,False
gonka12gwxa8vcvahyd4ygcxp4624ywaw98wp953wuva,336221062198,0,0,0,0,2,6137,2,6137,4,13234,13234,,13234,6632,7097,False
gonka12hzd9zlz3tgslky477d4wa0jlwacv4nj9vxlmj,0,0,0,0,0,1,5965,1,5965,1,5965,5965,,5965,0,0,False
