real_reward_chain,simulated_reward_chain_formula,calculated_reward_inference_slot_nodes,calculated_reward_non_inference_slot_nodes,ml_nodes_weight_inference_slot,ml_nodes_weight_non_inference_slot,historical_ml_nodes_weight_inference_slot,historical_ml_nodes_weight_non_inference_slot,lost_ml_nodes_weight_inference_slot,historical_calculated_reward_inference_slot_nodes,estimated_lost_reward_due_to_lost_inference_slots,calculated_reward_inference_slot_nodes_gnk,estimated_lost_reward_due_to_lost_inference_slots_gnk,participant_index
0,0,0,0,0,0,4663,0,4663,236153328927,236153328927,0,236.153328927,gonka10000627dkz6nvmf09ctqy073v0fls696uznwgg
0,0,0,0,0,0,3589,0,3589,181761590719,181761590719,0,181.761590719,gonka100009u7hegukxy5ne3w6ycfleaj7uuvh2juxqd
0,0,0,0,0,0,0,1912,0,0,0,0,0,gonka10000uv63da0ee5drk26erkwrvcmpmj7kg6kw48
0,0,0,0,0,0,4299,0,4299,217718885065,217718885065,0,217.718885065,gonka10003spukrualhl3h80k9x5m9vrmvlmp8kf4t4w
0,0,0,0,0,0,0,4509,0,0,0,0,0,gonka10006x5p5z8zukfye552fd58qqj2qth69kv5kmn
0,0,0,0,0,0,0,5012,0,0,0,0,0,gonka100070ewvrcraax995yd78cm0nraryzp4hal3hk
0,0,0,0,0,0,4824,0,4824,244307025251,244307025251,0,244.307025251,gonka10008pmwrke48xh42dhe0ul0mm0mhhvz6ta9srs
0,0,0,0,0,0,0,4639,0,0,0,0,0,gonka100092zwvcksslturgx39lzwy6ztjxuttt3spej
0,0,0,0,0,0,4519,0,4519,228860581905,228860581905,0,228.860581905,gonka1000937gjpju4udj2wlj3yld0lcw024tp0ztqew
0,0,0,0,0,0,0,4778,0,0,0,0,0,gonka10009skl232h4c94st5ar3j3c2e34cfk2cpgrj0
0,0,0,0,0,0,5576,0,5576,282391370813,282391370813,0,282.391370813,gonka1000hqfkcp3cs0fq4r78vvpkjlv5n4x4sdgcv7v
0,0,0,0,0,0,2886,0,2886,146158804908,146158804908,0,146.158804908,gonka1000rv0ddp9yk6djr4y29mt0gu3m4p8mg4kmjcv
0,0,0,0,0,0,0,3365,0,0,0,0,0,gonka1000sng4u5jm7jdjnwxvq6uwmw067mvcurd9205
0,0,0,0,0,0,3695,0,3695,187129862832,187129862832,0,187.129862832,gonka1000xjetteyu7gy726vnhdxq69y3meq04gvnk4d
0,0,0,0,0,0,3655,0,3655,185104099770,185104099770,0,185.10409977,gonka1000xmydnfvphwy4n5yww4ex6nwk9mqslf2gnhs
0,0,0,0,0,0,4142,0,4142,209767765048,209767765048,0,209.767765048,gonka1000zfcrzdjwwucvs9k2wuy4j5ecj69q5f4v57h
5470537719936,5470537719936,0,5464850367697,0,107907,4628,107907,4628,234380786248,234380786248,0,234.380786248,gonka100k8hr43z5vp0fnyc94m7lum6mj4st6vksxz8s
98554545372,98554545372,0,98452084803,0,1944,0,1944,0,0,0,0,0,gonka104z9al2taf6gspj2qlsqtjwpxt7ypmpn5z0nxa
11356079302,11356079302,0,11344273146,0,224,0,224,0,0,0,0,0,gonka105ce4495mj0mwkxqeasgdzqfq5jjrfq32eza5l
657689360659,657689360659,0,657005605013,0,12973,0,12973,0,0,0,0,0,gonka109g8dnt43nj45xhg83jyjt5f2ywz336w36qzyl
5089297914790,5089297914790,0,5084006912081,0,100387,61,100387,61,3089288669,3089288669,0,3.089288669,gonka10etnufq85u67k075yuxq6h3rzwlcln5rffhlyx
0,0,0,0,0,0,3518,0,3518,178165861284,178165861284,0,178.165861284,gonka10fvaz7sgva6563fkcp9wxlk5hz7gj8fmu0w699
153661948058,153661948058,0,153502196007,0,3031,2602,3031,2602,131775887169,131775887169,0,131.775887169,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09
0,0,0,0,0,0,5761,0,5761,291760524973,291760524973,0,291.760524973,gonka10p49jx70haq9uhjy94y80zkfv3xk5pafk5wc5q
25956752690,25956752690,0,25929767191,0,512,0,512,0,0,0,0,0,gonka10r7l6unulyg0wtk8kl980k7fpvjskxuxdtnt7t
668741259266,668741259266,0,668046013700,0,13191,0,13409,0,0,0,0,0,gonka10vh6xfdrksy7npapnhs6pnwmd3ldpxgl8n2gdd
861135549230,861135549230,0,860240284186,0,16986,5900,17161,5900,298800051613,298800051613,0,298.800051613,gonka10vljxvwy6n9hh263chkt0hj0kg7t0qmdwfrurs
0,0,0,0,0,0,3539,0,3539,179229386891,179229386891,0,179.229386891,gonka1270mrwh27pgnrtmmsmyy5rsq2h8ug6l4zvg4cu
336221062198,336221062198,0,335871515644,0,6632,6137,7097,6137,310802697754,310802697754,0,310.802697754,gonka12gwxa8vcvahyd4ygcxp4624ywaw98wp953wuva
0,0,0,0,0,0,5965,0,5965,302091916588,302091916588,0,302.091916588,gonka12hzd9zlz3tgslky477d4wa0jlwacv4nj9vxlmj
854392877145,854392877145,0,853504622006,0,16853,0,17656,0,0,0,0,0,gonka12mqkaycdsc7qr37ey5rqw6vhjvkk7waxdc7rjh
0,0,0,0,0,0,0,8328,0,0,0,0,0,gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3
15563912257,15563912257,0,15547731499,0,307,0,339,0,0,0,0,0,gonka13jw6k5lleqepjyjsm8r4lhrfnn955h8wrexdz2
669957982049,669957982049,0,669261471537,0,13215,0,13215,0,0,0,0,0,gonka13pacjyw9quwfvzllp2h7u27h6f5khqlftw3jmk
0,0,0,0,0,0,0,160,0,0,0,0,0,gonka13xpjvala86d3y6jdjpnfk56ptjawq29t4gprtx
0,0,0,0,0,0,7094,0,7094,359269079007,359269079007,0,359.269079007,gonka1450wvd5uugfj7gru4heut5ulnneunplvxs995e
2084347519785,2084347519785,0,2082180563054,0,41114,3290,42098,3290,166619011832,166619011832,0,166.619011832,gonka14cu38xpsd8pz5zdkkzwf0jwtpc0vv309ake364
0,0,0,0,0,0,658,0,658,33323802366,33323802366,0,33.323802366,gonka14dkhe6rhy2nq6snmkp2ssnaesumsuwctlmrzcn
3274657278432,3274657278432,0,3271252836245,0,64593,0,71744,0,0,0,0,0,gonka14fn68sulr6v6l78kvur9u6yw5lwurtqcrqkh93
0,0,0,0,0,0,3103,0,3103,157148569518,157148569518,0,157.148569518,gonka14jxtac6gra9cc97q7gw6el2l7f2v2d32f8973x
2906243759284,2906243759284,0,2903222331995,0,57326,0,58626,0,0,0,0,0,gonka14law208gj4hgpr04y2udwlkkxh3k9mv07evgh4
600097815627,600097815627,0,599473934058,0,11837,0,11837,0,0,0,0,0,gonka14p0njxtlnx2c8zn570nvvaf730gnnkwvetlwj8
0,0,0,0,0,0,1840,0,1840,93185100842,93185100842,0,93.185100842,gonka14pdvgt025fwkf38cr74hhcj2nfl98c044tswya
1256469059939,1256469059939,0,1255162793081,0,24784,1707,26578,1707,86449438662,86449438662,0,86.449438662,gonka14qwpw2l0qmevxy9snllfaw0r9svnh4vdyl3897
898752561919,898752561919,0,897818188982,0,17728,1698,18192,1698,85993641973,85993641973,0,85.993641973,gonka14s76f83l8m3guvr8vu54dmla798jzy3u09vxzx
3805858166507,3805858166507,0,3801901470279,0,75071,0,75633,0,0,0,0,0,gonka14sk8te3wu4zh9dal9yd9tm3pd2qerdru4aqm05
0,0,0,194422609855,0,3839,12266,17606,12266,621200242896,621200242896,0,621.200242896,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm
480098531214,480098531214,0,479599404877,0,9470,0,9470,0,0,0,0,0,gonka14ued4vcdeluj9v9vmsmteap7vtg7t50640hvmf
175867138836,175867138836,0,175684301533,0,3469,0,3608,0,0,0,0,0,gonka14vyhz7henu2lxssa02lf3qwmufv8kvxzn85frf
1553501509188,1553501509188,0,1551886437556,0,30643,0,31356,0,0,0,0,0,gonka14yprk25twtverkpcsdgnrg5raeuycmkl5dwa34
14549976605,14549976605,0,14534849968,0,287,0,301,0,0,0,0,0,gonka1547gss5hs48tg024zg7cm3f4r747a8ed0mrgru
4646664305916,4646664305916,0,4641833479771,0,91656,4913,92575,4913,248814348064,248814348064,0,248.814348064,gonka155cnj622zfdl64f23ljmk2tzv7tewl6fp4m2hl
25145604169,25145604169,0,25119461966,0,496,0,587,0,0,0,0,0,gonka159kqhlp3psj4r7r9646lhjpfz5apwmyen6y7m2
15259731562,15259731562,0,15243867040,0,301,0,510,0,0,0,0,0,gonka15hc8eqp4axp7lztjuk0y5z0af6drw5k0eltrue
0,0,0,0,0,0,3101,0,3101,157047281365,157047281365,0,157.047281365,gonka15kf06ehfplnqtvgnndyfym9w9f63686cvw3nqj
0,0,0,0,0,0,3545,0,3545,179533251351,179533251351,0,179.533251351,gonka15mh2v944wxk3phxfkegglpgfpq9mjcm6vmpyng
0,0,0,0,0,0,0,610,0,0,0,0,0,gonka15natyl5kwtzta9lr0xeqmew3j5thza2lslvw4x
158985110231,158985110231,0,158819824044,0,3136,0,3242,0,0,0,0,0,gonka15vunu0new53m83ccvfcmkf84v7q4s8ldsjfu4y
205981027700,205981027700,0,205766883001,0,4063,0,4128,0,0,0,0,0,gonka15x0egllrr3wlucagztrpf7u8365zdjjy3qh8aa
0,0,0,0,0,0,0,66976,0,0,0,0,0,gonka15ye48c3rp57hwt9t6tzc6h0t5sh88zvj0yznwn
0,0,0,0,0,0,3357,0,3357,170012164960,170012164960,0,170.01216496,gonka16324l7r5jllqjm7e5wlf2h44cr3dsmjj8a6py7
2954811277014,2954811277014,0,2951739357325,0,58284,0,58284,0,0,0,0,0,gonka1662dun8ufuvjfa652th9farq6devh57p0v4r3y
0,0,0,0,0,0,2049,0,2049,103769712840,103769712840,0,103.76971284,gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux
0,0,0,0,0,0,85,0,85,4304746506,4304746506,0,4.304746506,gonka16lksjaqq2gqpeexvqg4xgux6hdtms3wnk4jjle
3580663058201,3580663058201,0,3576940482268,0,70629,0,75647,0,0,0,0,0,gonka16msrxqwfedlll09hdwv0zmma6wttxx0wqqlt0y
519439234511,519439234511,0,518899208276,0,10246,0,10246,0,0,0,0,0,gonka16p9vx68hfr5vpy6s59rvrz85le5dq22uymukgv
0,0,0,0,0,0,2909,0,2909,147323618668,147323618668,0,147.323618668,gonka16sfwtnse80aleg7sgmumnu3qxhtf93mf86479a
601517325540,601517325540,0,600891968202,0,11865,0,12043,0,0,0,0,0,gonka16sthutkxgr88vlkgvqak2h7pdt76fcznfz6w43
146006733885,146006733885,0,145854940448,0,2880,0,3014,0,0,0,0,0,gonka17339jstnve8h7mzms493x9twwznadymtvj7vjt
0,0,0,0,0,0,3271,0,3271,165656774377,165656774377,0,165.656774377,gonka174srhxhfktxx4hv94zcdz4jqfw9kvc4ge2p0pu
0,0,0,0,0,0,15623,0,15623,791212407856,791212407856,0,791.212407856,gonka178p3vw9zxs885l4a29g3sep0v9uplfq4pzvmrq
47249401382,47249401382,0,47200279340,0,932,2086,1083,2086,105643543672,105643543672,0,105.643543672,gonka17amsnz2csvjwt3rdezys6gj7wggexxwtwt03a9
186716250313,186716250313,0,186522133914,0,3683,0,3683,0,0,0,0,0,gonka17cnuuvplky4ck8hwj8smh6he6tgq6su45r5v5y
0,0,0,0,0,0,452,0,452,22891122598,22891122598,0,22.891122598,gonka17nhy0gakmp3yhlrm5h9xghj5mgwgyxagr8zmm0
1476188915724,1476188915724,0,1474654220825,0,29118,0,29573,0,0,0,0,0,gonka17rfqamx8vr4zpd6z0jnulre4acht2lj7tq205e
678272254395,678272254395,0,677567100090,0,13379,0,13637,0,0,0,0,0,gonka17t9elrdnnzqd5q2w240ue47tn253gjuhpkflwx
0,0,0,0,0,0,3390,0,3390,171683419486,171683419486,0,171.683419486,gonka17w5kpa57jtqnqy7wdp5d03jkjmk0vjwdpp5xmg
155892606492,155892606492,0,155730535375,0,3075,0,3244,0,0,0,0,0,gonka17wmjdfda8tfkfujp24usqzsxv32vrycnhvj3cl
0,0,0,0,0,0,583,0,583,29525496625,29525496625,0,29.525496625,gonka184jz8ja5gqkr3kt98a3a4syyypwj07j0qngukg
0,0,0,0,0,0,5730,0,5730,290190558600,290190558600,0,290.1905586,gonka185kgdje9wjucxtkdu0nqhpqlwxutc5kc7nss8u
155943303275,155943303275,0,155781179451,0,3076,0,3435,0,0,0,0,0,gonka18fgyw8c7deqkk4zq8n9efgrwjjypdrd7cskv48
4389580921355,4389580921355,0,4385017367613,0,86585,0,94683,0,0,0,0,0,gonka18py93vhrf7mn3yjkqjdpkwlqfpavu3f06ssllv
3903195989098,3903195989098,0,3899138097244,0,76991,0,77663,0,0,0,0,0,gonka18v2az8fn2z28ykxu7zyc09crqdmjuldmnag0g2
0,0,0,0,0,0,7638,0,7638,386819456648,386819456648,0,386.819456648,gonka18xpmr5v362gwvxlq78twhg7ht07wu4kzdqu4y2
0,0,0,0,0,0,3307,0,3307,167479961133,167479961133,0,167.479961133,gonka192gv4k5kh88g5s9xll8k7w065lz0rjwh7zj55v
0,0,0,0,0,0,68,0,68,3443797205,3443797205,0,3.443797205,gonka1948n747ayualpznexxchnx95pdnpu25mph804e
0,0,0,0,0,0,6463,0,6463,327312666708,327312666708,0,327.312666708,gonka199lgrq8l9xcqqnr0agajzl78c4dpfvwnsc4elm
120506252238,120506252238,0,120380969946,0,2377,0,2418,0,0,0,0,0,gonka19f8zl7a979j0z90r5k0pajhua2y6ajtykxe8dk
0,0,0,0,0,0,29,0,29,1468678220,1468678220,0,1.46867822,gonka19g7jp7tcpnh9ul6gkr3kdc3lmcy55w6swvql0f
160607407274,160607407274,0,160440434493,0,3168,0,3566,0,0,0,0,0,gonka19kd8xatmw86wyz6v5qmc9kqwfnk62cydql7da5
0,0,0,0,0,0,3524,0,3524,178469725743,178469725743,0,178.469725743,gonka19mh7jn9xmzz9m0nrczgd32usqrcqm7mpsrh77j
0,0,0,0,0,0,3085,0,3085,156236976140,156236976140,0,156.23697614,gonka19nsaq8gdavl04mx0v6lhvzzdkqhu6uf56l38w0
671022614483,671022614483,0,670324997144,0,13236,0,13236,0,0,0,0,0,gonka19pve9p3eth8j7ssv7k4f57lljrtjtl6mjgnuxq
2295651709658,2295651709658,0,2293265074092,0,45282,0,45819,0,0,0,0,0,gonka19sf4axsacdphm598alpxt7t2qpacxttdmj5e06
3500511444912,3500511444912,0,3496872197251,0,69048,0,74521,0,0,0,0,0,gonka19yqs6l5s2wl908fswm58zptxvkvg82dtynwuku
0,0,0,0,0,0,321,0,321,16256748571,16256748571,0,16.256748571,gonka1a32tfg0a3xe7zer9m3ttuxr57wdffpc82qnacq
0,0,0,0,0,0,7570,0,7570,383375659443,383375659443,0,383.375659443,gonka1a3f2cpds29pq0x7yvuh5we233l6aytcgl8gtlx
105246520676,105246520676,0,105137102907,0,2076,0,2142,0,0,0,0,0,gonka1a3qq9jmmhr9xyn8p56v5hzfeuxp9r68suv6uhy
4740656140855,4740656140855,0,4735727597684,0,93510,0,96607,0,0,0,0,0,gonka1a46zzvkdg5kf7raesh7rp2e3alx7gzgq3ww4ac
0,0,0,0,0,0,6057,0,6057,306751171631,306751171631,0,306.751171631,gonka1a9yz979xxryjh9hdzuyxddscwtg9g92079hjra
0,0,0,0,0,0,968,0,968,49023466095,49023466095,0,49.023466095,gonka1aev99sylsnfzyu2dwlnw6f9lugjkvav7kxqp0k
279643452817,279643452817,0,279352726220,0,5516,0,5516,0,0,0,0,0,gonka1afe8squhg6aqwuts34wsyuu3rmn349hqqp6tqf
1049524793369,1049524793369,0,1048433672626,0,20702,0,22254,0,0,0,0,0,gonka1ag5r7em9qp7dn8nf6jecudhu38amu3nwtqv3cg
0,0,0,0,0,0,3310,0,3310,167631893363,167631893363,0,167.631893363,gonka1ajvs7j8wlgjy8d3kjad520am6jm3a4alj7k4jq
77616774159,77616774159,0,77536081190,0,1531,0,1531,0,0,0,0,0,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj
521923376859,521923376859,0,521380768027,0,10295,0,14061,0,0,0,0,0,gonka1apnzzz6wlpevze3vzsmk7n0vp6az5609magdf6
532975275465,532975275465,0,532421176713,0,10513,0,10513,0,0,0,0,0,gonka1apw5tzk6a3l9hdpdx5q9v2leehvz5rvvw44x8s
0,0,0,0,0,0,341,0,341,17269630102,17269630102,0,17.269630102,gonka1au034ld8fsrvtyxpzxx8nnnqe5kmhe20lmhuwm
3310145026252,3310145026252,0,3306703689826,0,65293,7620,67530,7620,385907863270,385907863270,0,385.90786327,gonka1c8pemd8czpgeg69cu95y58fstuquw93uwqml7f
675179750656,675179750656,0,674477811421,0,13318,0,13862,0,0,0,0,0,gonka1caju8tg6yg3wkvryhks57jwd8des6ssypfrhhj
961160301299,961160301299,0,960161047209,0,18959,0,19021,0,0,0,0,0,gonka1ceuk4gvskjw9deuvequ0hd6ty2u7h4jsg5a8uj
0,0,0,0,0,0,3457,0,3457,175076572615,175076572615,0,175.076572615,gonka1cjvdez8e6mwjxg0e3g7rrds9ezm9c7kemlu3g7
472392620259,472392620259,0,471901505242,0,9318,0,16958,0,0,0,0,0,gonka1cw859nqcd9mg3y3alraluswu55xz9j36evsxd3
172470454402,172470454402,0,172291148405,0,3402,0,3402,0,0,0,0,0,gonka1czjrfgs9xfuax25j8nsjrdklzn6repcn25zjxd
25601875212,25601875212,0,25575258655,0,505,0,505,0,0,0,0,0,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p
